tree_file_name;leaf_dist;agree_with_etalon
Puzzle_filtered//PF02854_2.tre;"9;10;9;11;12;12;10;9;7;9;9;10;10;11;11;10;7;6;6;7;7;6;7;7;6;3;2;1;1;1";"None";78.9
Puzzle_filtered//PF02854_2.tre;"9;9;8;10;11;11;9;8;6;8;8;9;9;10;10;9;6;5;5;6;6;5;6;6;5;2;1;1;2;2";"9;10;10;10;10;8;9;9;8;6;6;6;5;5;5;3;2;2;1;1;3;5;5;6;9;9;8;9;9;9";64.8
Puzzle_filtered//PF02854_2.tre;"8;8;7;9;10;10;8;7;5;7;7;8;8;9;9;8;5;4;4;5;5;4;5;5;4;1;1;2;3;3";"8;9;9;9;9;7;8;8;7;5;5;5;4;4;4;2;3;3;2;1;2;4;4;5;8;8;7;8;8;8";61.5
Puzzle_filtered//PF02854_2.tre;"7;7;6;8;9;9;7;6;4;6;6;7;7;8;8;7;4;3;3;4;4;3;4;4;3;1;2;3;4;4";"None";52.1
Puzzle_filtered//PF02854_2.tre;"8;6;5;7;8;8;6;5;3;5;5;6;6;7;7;6;3;2;2;4;4;3;4;4;3;2;3;4;5;5";"6;7;7;7;7;5;6;6;5;3;6;6;5;5;5;3;5;5;4;3;1;2;2;3;6;6;5;6;6;6";97.5
Puzzle_filtered//PF02854_2.tre;"7;5;4;6;7;7;5;4;2;4;4;5;5;6;6;5;2;2;2;5;5;4;5;5;4;3;4;5;6;6";"5;6;6;6;6;4;5;5;4;2;7;7;6;6;6;4;6;6;5;4;2;2;2;2;5;5;4;5;5;5";94.0
Puzzle_filtered//PF02854_2.tre;"6;4;3;5;6;6;4;3;1;4;4;5;5;6;6;5;2;3;3;6;6;5;6;6;5;4;5;6;7;7";"5;5;5;5;5;3;4;4;3;1;8;8;7;7;7;5;7;7;6;5;3;3;3;2;5;5;4;5;5;5";91.3
Puzzle_filtered//PF02854_2.tre;"5;3;2;4;5;5;3;2;1;5;5;6;6;7;7;6;3;4;4;7;7;6;7;7;6;5;6;7;8;8";"6;4;4;4;4;2;3;3;2;1;9;9;8;8;8;6;8;8;7;6;4;4;4;3;6;6;5;6;6;6";40.9
Puzzle_filtered//PF02854_2.tre;"11;2;1;4;5;5;3;2;2;6;6;7;7;8;8;7;4;5;5;8;8;7;8;8;7;6;7;8;9;9";"7;4;4;4;4;2;2;2;1;2;10;10;9;9;9;7;9;9;8;7;5;5;5;4;7;7;6;7;7;7";48.3
Puzzle_filtered//PF02854_2.tre;"10;1;1;5;6;6;4;3;3;7;7;8;8;9;9;8;5;6;6;9;9;8;9;9;8;7;8;9;10;10";"8;5;5;5;5;3;1;1;1;3;11;11;10;10;10;8;10;10;9;8;6;6;6;5;8;8;7;8;8;8";57.1
Puzzle_filtered//PF02854_2.tre;"10;3;2;3;4;4;2;1;2;6;6;7;7;8;8;7;4;5;5;8;8;7;8;8;7;6;7;8;9;9";"7;3;3;3;3;1;3;3;2;2;10;10;9;9;9;7;9;9;8;7;5;5;5;4;7;7;6;7;7;7";42.8
Puzzle_filtered//PF02854_2.tre;"9;4;3;2;3;3;1;1;3;7;7;8;8;9;9;8;5;6;6;9;9;8;9;9;8;7;8;9;10;10";"8;2;2;2;2;1;4;4;3;3;11;11;10;10;10;8;10;10;9;8;6;6;6;5;8;8;7;8;8;8";68.3
Puzzle_filtered//PF02854_2.tre;"8;5;4;1;2;2;1;2;4;8;8;9;9;10;10;9;6;7;7;10;10;9;10;10;9;8;9;10;11;11";"None";62.0
Puzzle_filtered//PF02854_2.tre;"10;6;5;1;1;1;2;3;5;9;9;10;10;11;11;10;7;8;8;11;11;10;11;11;10;9;10;11;12;12";"9;2;2;1;1;2;5;5;4;4;12;12;11;11;11;9;11;11;10;9;7;7;7;6;9;9;8;9;9;9";91.7
Puzzle_filtered//PF02854_2.tre;"9;5;4;6;7;7;5;4;2;3;3;4;4;5;5;4;1;3;3;6;6;5;6;6;5;4;5;6;7;7";"4;6;6;6;6;4;5;5;4;2;8;8;7;7;7;5;7;7;6;5;3;3;3;1;4;4;3;4;4;4";64.7
Puzzle_filtered//PF02854_2.tre;"8;6;5;7;8;8;6;5;3;2;2;3;3;4;4;3;1;4;4;7;7;6;7;7;6;5;6;7;8;8";"3;7;7;7;7;5;6;6;5;3;9;9;8;8;8;6;8;8;7;6;4;4;4;1;3;3;2;3;3;3";44.3
Puzzle_filtered//PF02854_2.tre;"7;7;6;8;9;9;7;6;4;1;1;3;3;4;4;3;2;5;5;8;8;7;8;8;7;6;7;8;9;9";"4;9;9;9;9;7;8;8;7;5;11;11;10;10;10;8;10;10;9;8;6;6;6;3;1;1;1;4;4;4";61.7
Puzzle_filtered//PF02854_2.tre;"6;7;6;8;9;9;7;6;4;2;2;2;2;3;3;2;2;5;5;8;8;7;8;8;7;6;7;8;9;9";"None";16.2
