tree_file_name;leaf_dist;agree_with_etalon
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"4;7;6;6;6;5;5;3;2;1;1;3;3;3;3";"3;3;3;3;3;3;1;1;3;4;6;7;7;6;6";44.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"3;6;5;5;5;4;4;2;1;1;2;4;4;4;4";"2;2;4;4;4;4;2;1;2;3;5;6;6;5;5";46.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"2;5;4;4;4;3;3;1;1;2;3;5;5;5;5";"None";26.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"1;4;3;3;3;2;2;1;2;3;4;6;6;6;6";"None";17.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"2;3;2;2;2;2;2;2;3;4;5;7;7;7;7";"4;4;7;7;7;7;5;4;2;1;2;3;3;2;2";23.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"3;2;1;2;2;3;3;3;4;5;6;8;8;8;8";"5;5;8;8;8;8;6;5;3;2;1;2;2;2;2";49.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"6;1;1;3;3;4;4;4;5;6;7;9;9;9;9";"6;6;9;9;9;9;7;6;4;3;1;1;1;3;3";34.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"5;3;2;1;1;3;3;3;4;5;6;8;8;8;8";"5;5;8;8;8;8;6;5;3;2;2;3;3;1;1";37.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"4;4;3;3;3;1;1;2;3;4;5;7;7;7;7";"1;1;5;5;5;5;3;2;2;3;5;6;6;5;5";34.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"5;9;8;8;8;7;7;5;4;3;2;1;1;2;2";"5;5;2;2;1;1;2;3;5;6;8;9;9;8;8";47.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00005_3.tre;"2;6;5;4;6;6;8;8;7;6;4;2;1;1;1";"1;1;2;2;2;4;6;6;5;4;6;6;6;7;7";39.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00005_3.tre;"1;5;4;3;5;5;7;7;6;5;3;1;1;2;2";"None";24.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00005_3.tre;"2;4;3;2;4;4;6;6;5;4;2;1;2;3;3";"2;2;2;2;1;3;5;5;4;3;5;5;5;6;6";25.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00005_3.tre;"6;3;2;1;4;4;6;6;5;4;2;2;3;4;4";"4;4;4;4;2;1;3;3;2;2;4;4;4;5;5";46.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00005_3.tre;"5;2;1;1;5;5;7;7;6;5;3;3;4;5;5";"5;5;5;5;3;1;2;2;1;3;5;5;5;6;6";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00005_3.tre;"4;1;1;2;6;6;8;8;7;6;4;4;5;6;6";"6;6;6;6;4;2;1;1;1;4;6;6;6;7;7";26.0
