tree_file_name;leaf_dist;agree_with_etalon
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00005_3.tre;"1;4;7;7;6;5;7;7;6;5;2;1;1;2;2";"6;6;6;6;4;4;6;6;5;2;2;2;1;2;2";7.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00005_3.tre;"2;3;6;6;5;4;6;6;5;4;1;1;2;3;3";"None";13.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00005_3.tre;"6;2;5;5;4;3;5;5;4;3;1;2;3;4;4";"None";9.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00005_3.tre;"5;1;5;5;4;3;5;5;4;3;2;3;4;5;5";"6;6;6;6;4;4;6;6;5;2;1;1;2;3;3";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00005_3.tre;"4;2;4;4;3;2;4;4;3;2;2;3;4;5;5";"None";9.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00005_3.tre;"3;3;3;3;2;1;4;4;3;2;3;4;5;6;6";"4;4;4;4;2;1;3;3;2;2;4;4;4;5;5";19.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00005_3.tre;"4;4;2;2;1;1;5;5;4;3;4;5;6;7;7";"5;5;5;5;3;1;2;2;1;3;5;5;5;6;6";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00005_3.tre;"6;5;1;1;1;2;6;6;5;4;5;6;7;8;8";"6;6;6;6;4;2;1;1;1;4;6;6;6;7;7";14.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00005_3.tre;"5;3;4;4;3;2;3;3;2;1;3;4;5;6;6";"2;2;2;2;1;3;5;5;4;3;5;5;5;6;6";14.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00005_3.tre;"6;4;5;5;4;3;2;2;1;1;4;5;6;7;7";"None";12.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00005_3.tre;"7;5;6;6;5;4;1;1;1;2;5;6;7;8;8";"1;1;2;2;2;4;6;6;5;4;6;6;6;7;7";13.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00676_1.tre;"1;9;9;8;7;6;6;6;6;6;5;3;2;1;1";"5;5;4;7;8;8;6;5;5;5;2;2;2;1;1";19.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00676_1.tre;"7;8;8;7;6;5;5;5;5;5;4;2;1;1;2";"None";9.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00676_1.tre;"6;7;7;6;5;4;4;4;4;4;3;1;1;2;3";"4;4;3;6;7;7;5;4;4;4;1;2;2;2;2";14.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00676_1.tre;"5;6;6;5;4;3;3;3;3;3;2;1;2;3;4";"3;3;2;5;6;6;4;3;3;3;1;3;3;3;3";16.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00676_1.tre;"4;5;5;4;3;2;2;2;3;3;2;2;3;4;5";"3;3;2;4;5;5;3;2;2;2;2;4;4;4;4";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00676_1.tre;"4;4;4;3;2;1;2;2;4;4;3;3;4;5;6";"4;4;3;3;4;4;2;1;2;2;3;5;5;5;5";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00676_1.tre;"3;3;3;2;1;1;3;3;5;5;4;4;5;6;7";"5;5;4;2;3;3;1;1;3;3;4;6;6;6;6";8.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00676_1.tre;"2;2;2;1;1;2;4;4;6;6;5;5;6;7;8";"None";13.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00676_1.tre;"3;1;1;1;2;3;5;5;7;7;6;6;7;8;9";"None";16.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00676_1.tre;"5;5;5;4;3;2;1;1;4;4;3;3;4;5;6";"4;4;3;4;5;5;3;2;1;1;3;5;5;5;5";20.0
